"country","fsystem","crop","total","area5.5_ha","area6.0_ha","area6.5_ha","area14_ha","diff"
"Tanzania","1. Maize mixed","SWPO",158775.400032662,6015.10001733154,48329.300102815,39237.6000058576,48547.299961783,16646.0999448746
"Tanzania","1. Maize mixed","CASS",420689.899814866,41386.2000160217,169617.800101049,143569.799758956,20866.6999890953,45249.3999497443
"Tanzania","1. Maize mixed","COWP",110833.900092229,11628.3999964669,39669.4000496641,37429.3000279069,12079.5000211895,10027.2999970019
"Tanzania","1. Maize mixed","PIGE",80962.1999763995,2673.39999903738,23119.8000261635,40462.7999768928,7556.89996699244,7149.30000731349
"Tanzania","1. Maize mixed","SOYB",7070.50001237541,420.099999077618,4134.40000445396,1544.49999741465,286.100000023842,685.400011405349
"Tanzania","1. Maize mixed","GROU",139852.700204872,25788.4001694918,62136.1999310106,31673.2000224516,9632.80005186796,10622.1000300497
"Tanzania","1. Maize mixed","SUGC",12206.6999843866,293.899999856949,4016.20000493526,5638.69998619705,816.499994754791,1441.3999986425
"Tanzania","1. Maize mixed","COTT",118868.499695957,428.400001764297,1787.69999742508,10934.2999289334,92028.3997152597,13689.7000525743
"Tanzania","1. Maize mixed","COCO",9112.79992675781,292,7037.6999206543,1055,282,446.100006103516
"Tanzania","1. Maize mixed","TEAS",8177.80000925064,1574.90000081062,3505.29999184608,1837.09999907017,324.200000762939,936.300016760826
"Tanzania","1. Maize mixed","TOBA",44244.9998696074,1479.00000023097,18894.8999550492,16845.599961549,3350.19996845722,3675.299984321
"Tanzania","1. Maize mixed","BANA",68490.6997799128,1537.60002236813,29409.8997426182,28669.3999917433,2512.50000159442,6361.3000215888
"Tanzania","1. Maize mixed","PLNT",54361.6999145448,28248.5998535156,12830.9000244141,1053.59999999404,282,11946.6000366211
"Tanzania","2. Agro-pastoral","MAIZ",1100906.30055737,28313.9999642372,236051.600111075,396782.100265995,345548.500118315,94210.1000977531
"Tanzania","2. Agro-pastoral","SORG",417726.499130934,1705.79999373853,36621.5000164062,200662.09957283,143099.999727353,35637.0998206064
